_time,_measurement,_field,_value
2024-08-26 03:37:00+00:00,mqtt_consumer,az,7.08
2024-08-26 03:38:00+00:00,mqtt_consumer,az,7.089500000000001
2024-08-26 03:39:00+00:00,mqtt_consumer,az,7.088500000000001
2024-08-26 03:40:00+00:00,mqtt_consumer,az,7.073750000000001
2024-08-26 03:41:00+00:00,mqtt_consumer,az,7.074750000000002
2024-08-26 03:42:00+00:00,mqtt_consumer,az,7.08625
2024-08-26 03:43:00+00:00,mqtt_consumer,az,7.083
2024-08-26 03:44:00+00:00,mqtt_consumer,az,7.08525
2024-08-26 03:45:00+00:00,mqtt_consumer,az,7.073499999999998
2024-08-26 03:46:00+00:00,mqtt_consumer,az,7.084999999999999
2024-08-26 03:47:00+00:00,mqtt_consumer,az,7.07
2024-08-26 03:48:00+00:00,mqtt_consumer,az,7.064750000000001
2024-08-26 03:49:00+00:00,mqtt_consumer,az,7.089499999999999
